============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.14-s037_1
  Generated on:           Feb 06 2024  05:07:44 pm
  Module:                 cephalopode
  Technology libraries:   asap7sc7p5t_AO_RVT_TT_ccs_211120 1.0
                          asap7sc7p5t_INVBUF_RVT_TT_ccs_211120 1.0
                          asap7sc7p5t_OA_RVT_TT_ccs_211120 1.0
                          asap7sc7p5t_SEQ_RVT_TT_ccs_220123 1.0
                          asap7sc7p5t_SIMPLE_RVT_TT_ccs_211120 1.0
                          physical_cells 
  Operating conditions:   PVT_0P7V_25C 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

          Instance                          Module                 Cell Count  Cell Area  Net Area   Total Area 
            inst_182         m_271_33_4258                                  4      4.432     1.496        5.929 
            inst_180         m_271_34_4260                                  4      4.432     1.496        5.929 
            inst_178         m_271_35_4262                                  4      4.432     1.496        5.929 
            inst_176         m_271_36_4268                                  4      4.432     1.496        5.929 
            inst_168         m_271_40_4278                                  4      4.432     1.496        5.929 
            inst_166         m_271_41_4280                                  4      4.432     1.496        5.929 
            inst_164         m_271_42_4282                                  4      4.432     1.496        5.929 
            inst_156         m_271_46_4290                                  4      4.432     1.496        5.929 
            inst_150         m_271_49_4296                                  4      4.432     1.496        5.929 
            inst_148         m_271_50_4300                                  4      4.432     1.496        5.929 
            inst_146         m_271_51_4302                                  4      4.432     1.496        5.929 
            inst_144         m_271_52_4304                                  4      4.432     1.496        5.929 
            inst_134         m_271_57_4314                                  4      4.432     1.496        5.929 
            inst_118         m_271_65_4332                                  4      4.432     1.496        5.929 
            inst_116         m_271_66_4334                                  4      4.432     1.496        5.929 
            inst_114         m_271_67_4336                                  4      4.432     1.496        5.929 
            inst_112         m_271_68_4338                                  4      4.432     1.496        5.929 
            inst_108         m_271_70_4344                                  4      4.432     1.496        5.929 
            inst_76          m_271_86_4378                                  4      4.432     1.496        5.929 
            inst_42          m_271_103_4180                                 4      4.432     1.496        5.929 
            inst_40          m_271_104_4182                                 4      4.432     1.496        5.929 
            inst_38          m_271_105_4184                                 4      4.432     1.496        5.929 
            inst_36          m_271_106_4186                                 4      4.432     1.496        5.929 
            inst_28          m_271_110_4196                                 4      4.432     1.496        5.929 
            inst_20          m_271_114_4204                                 4      4.432     1.496        5.929 
            inst_8           m_1142_1917                                    4      4.432     1.496        5.929 
            inst_14          m_271_117_4210                                 3      4.199     0.998        5.197 
            inst_246         m_271_1_4170                                   3      3.966     0.998        4.963 
            inst_236         m_271_6_4320                                   3      3.966     0.998        4.963 
            inst_206         m_271_21_4232                                  3      3.966     0.998        4.963 
            inst_204         m_271_22_4234                                  3      3.966     0.998        4.963 
            inst_174         m_271_37_4270                                  3      3.966     0.998        4.963 
            inst_142         m_271_53_4306                                  3      3.966     0.998        4.963 
            inst_140         m_271_54_4308                                  3      3.966     0.998        4.963 
            inst_110         m_271_69_4340                                  3      3.966     0.998        4.963 
            inst_10          m_1140_1913                                    3      3.966     0.998        4.963 
            inst_9           m_1141_1915                                    3      3.966     0.998        4.963 
            inst_6           m_1144_1921                                    3      3.966     0.998        4.963 
            inst_5           m_1145_1923                                    3      3.966     0.998        4.963 
            inst_4           m_1146_1925                                    3      3.966     0.998        4.963 
            inst_3           m_1147_1927                                    3      3.966     0.998        4.963 
            inst_244         m_271_2_4228                                   3      3.732     0.998        4.730 
            inst_242         m_271_3_4250                                   3      3.732     0.998        4.730 
            inst_240         m_271_4_4276                                   3      3.732     0.998        4.730 
            inst_172         m_271_38_4272                                  3      3.732     0.998        4.730 
            inst_44          m_271_102_4178                                 3      3.732     0.998        4.730 
            inst_238         m_271_5_4298                                   2      3.266     0.499        3.765 
            inst_2           m_262_4013                                     2      3.266     0.499        3.765 
          inst_133           m_1020                                      1497   1932.725  1071.409     3004.134 
            inst_1           m_1148                                       953   1329.463   725.488     2054.951 
              inst_1         m_1149                                       953   1329.463   725.488     2054.951 
            inst_90          m_271_79_4363                                  6      6.065     2.494        8.559 
            inst_98          m_271_75_4355                                  6      5.832     2.494        8.326 
            inst_96          m_271_76_4357                                  6      5.832     2.494        8.326 
            inst_88          m_271_80_4367                                  6      5.832     2.494        8.326 
            inst_66          m_271_91_4391                                  6      5.832     2.494        8.326 
            inst_64          m_271_92_4393                                  6      5.832     2.494        8.326 
            inst_58          m_271_95_4399                                  6      5.832     2.494        8.326 
            inst_56          m_271_96_4401                                  6      5.832     2.494        8.326 
            inst_218         m_271_15_4219                                  5      5.365     1.995        7.360 
            inst_186         m_271_31_4255                                  5      5.365     1.995        7.360 
