============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.14-s037_1
  Generated on:           Feb 06 2024  05:10:39 pm
  Module:                 cephalopode
  Operating conditions:   PVT_0P7V_25C 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     Leakage    Dynamic     Total   
          Instance            Cells Power(nW)  Power(nW)  Power(nW) 
            inst_107              1     0.169      0.000      0.169 
            inst_110              1     0.169      0.000      0.169 
            inst_184              1     0.169      0.000      0.169 
            inst_194              1     0.169      0.000      0.169 
            inst_206              1     0.169      0.000      0.169 
            inst_215              1     0.169      0.000      0.169 
            inst_117              1     0.166      0.000      0.166 
            inst_112              3     0.146      0.000      0.146 
            inst_139              2     0.143      0.000      0.143 
              inst_1              2     0.143      0.000      0.143 
            inst_95               2     0.142      0.000      0.142 
            inst_22               1     0.131      0.000      0.131 
            inst_181              1     0.131      0.000      0.131 
            inst_109              1     0.130      0.000      0.130 
            inst_63               1     0.126      0.000      0.126 
            inst_99               1     0.126      0.000      0.126 
            inst_58               1     0.125      0.000      0.125 
            inst_60               1     0.125      0.000      0.125 
            inst_62               1     0.125      0.000      0.125 
            inst_64               1     0.125      0.000      0.125 
            inst_101              1     0.125      0.000      0.125 
            inst_106              1     0.125      0.000      0.125 
            inst_120              1     0.125      0.000      0.125 
            inst_133              1     0.125      0.000      0.125 
              inst_1              1     0.125      0.000      0.125 
            inst_171              1     0.125      0.000      0.125 
            inst_176              1     0.125      0.000      0.125 
            inst_185              1     0.125      0.000      0.125 
            inst_191              1     0.125      0.000      0.125 
            inst_195              1     0.125      0.000      0.125 
            inst_197              1     0.125      0.000      0.125 
            inst_203              1     0.125      0.000      0.125 
            inst_207              1     0.125      0.000      0.125 
            inst_212              1     0.125      0.000      0.125 
            inst_216              1     0.125      0.000      0.125 
            inst_231              1     0.125      0.000      0.125 
            inst_240              1     0.125      0.000      0.125 
            inst_242              1     0.125      0.000      0.125 
              inst_1              1     0.125      0.000      0.125 
            inst_100              1     0.121      0.000      0.121 
            inst_76               2     0.105      0.000      0.105 
          inst_4                296    31.972   6120.016   6151.988 
            inst_21              90    10.052   2164.104   2174.155 
              inst_2             82     9.208   2057.317   2066.526 
                inst_1           82     9.208   2057.317   2066.526 
                  inst_1         61     7.383   2057.317   2064.700 
                    inst_2       40     5.557   2057.317   2062.874 
                    inst_1       21     1.826      0.000      1.826 
                      inst_1     21     1.826      0.000      1.826 
                  inst_2         21     1.826      0.000      1.826 
              inst_1              8     0.843    106.787    107.630 
                inst_1            8     0.843    106.787    107.630 
                  inst_5          4     0.360    106.787    107.147 
                    inst_1        2     0.272    106.787    107.058 
                    inst_2        2     0.088      0.000      0.088 
                      inst_1      2     0.088      0.000      0.088 
                  inst_2          1     0.169      0.000      0.169 
                  inst_4          1     0.131      0.000      0.131 
                  inst_6          1     0.130      0.000      0.130 
            inst_9               42     4.591    929.712    934.302 
              inst_2             34     3.747    822.927    826.674 
                inst_1           34     3.747    822.927    826.674 
                  inst_1         25     2.985    822.927    825.912 
                    inst_2       16     2.223    822.927    825.150 
                    inst_1        9     0.762      0.000      0.762 
                      inst_1      9     0.762      0.000      0.762 
                  inst_2          9     0.762      0.000      0.762 
              inst_1              8     0.843    106.785    107.628 
                inst_1            8     0.843    106.785    107.628 
                  inst_5          4     0.360    106.785    107.145 
                    inst_1        2     0.272    106.785    107.056 
                    inst_2        2     0.088      0.000      0.088 
                      inst_1      2     0.088      0.000      0.088 
                  inst_2          1     0.169      0.000      0.169 
                  inst_4          1     0.131      0.000      0.131 
                  inst_6          1     0.130      0.000      0.130 
            inst_11              42     4.591    929.712    934.302 
              inst_2             34     3.747    822.927    826.674 
                inst_1           34     3.747    822.927    826.674 
                  inst_1         25     2.985    822.927    825.912 
                    inst_2       16     2.223    822.927    825.150 
                    inst_1        9     0.762      0.000      0.762 
                      inst_1      9     0.762      0.000      0.762 
                  inst_2          9     0.762      0.000      0.762 
              inst_1              8     0.843    106.785    107.628 
                inst_1            8     0.843    106.785    107.628 
                  inst_5          4     0.360    106.785    107.145 
                    inst_1        2     0.272    106.785    107.056 
                    inst_2        2     0.088      0.000      0.088 
                      inst_1      2     0.088      0.000      0.088 
                  inst_2          1     0.169      0.000      0.169 
                  inst_4          1     0.131      0.000      0.131 
                  inst_6          1     0.130      0.000      0.130 
            inst_3               34     3.680    723.976    727.656 
              inst_2             26     2.837    617.195    620.032 
                inst_1           26     2.837    617.195    620.032 
                  inst_1         19     2.252    617.195    619.447 
                    inst_2       12     1.667    617.195    618.862 
                    inst_1        7     0.585      0.000      0.585 
                      inst_1      7     0.585      0.000      0.585 
                  inst_2          7     0.585      0.000      0.585 
              inst_1              8     0.843    106.781    107.624 
                inst_1            8     0.843    106.781    107.624 
                  inst_5          4     0.360    106.781    107.141 
                    inst_1        2     0.272    106.781    107.052 
                    inst_2        2     0.088      0.000      0.088 
                      inst_1      2     0.088      0.000      0.088 
                  inst_2          1     0.169      0.000      0.169 
                  inst_4          1     0.131      0.000      0.131 
                  inst_6          1     0.130      0.000      0.130 
            inst_5               18     1.824    312.516    314.341 
              inst_2             10     0.981    205.732    206.713 
                inst_1           10     0.981    205.732    206.713 
                  inst_1          7     0.768    205.732    206.500 
                    inst_2        4     0.556    205.732    206.287 
                    inst_1        3     0.213      0.000      0.213 
                      inst_1      3     0.213      0.000      0.213 
                  inst_2          3     0.213      0.000      0.213 
              inst_1              8     0.843    106.785    107.628 
                inst_1            8     0.843    106.785    107.628 
                  inst_5          4     0.360    106.785    107.145 
                    inst_1        2     0.272    106.785    107.056 
                    inst_2        2     0.088      0.000      0.088 
                      inst_1      2     0.088      0.000      0.088 
                  inst_2          1     0.169      0.000      0.169 
                  inst_4          1     0.131      0.000      0.131 
                  inst_6          1     0.130      0.000      0.130 
            inst_19              18     1.824    312.511    314.335 
              inst_2             10     0.981    205.732    206.713 
                inst_1           10     0.981    205.732    206.713 
                  inst_1          7     0.768    205.732    206.500 
                    inst_2        4     0.556    205.732    206.287 
                    inst_1        3     0.213      0.000      0.213 
                      inst_1      3     0.213      0.000      0.213 
                  inst_2          3     0.213      0.000      0.213 
              inst_1              8     0.843    106.779    107.622 
                inst_1            8     0.843    106.779    107.622 
                  inst_5          4     0.360    106.779    107.139 
                    inst_1        2     0.272    106.779    107.051 
                    inst_2        2     0.088      0.000      0.088 
                      inst_1      2     0.088      0.000      0.088 
                  inst_2          1     0.169      0.000      0.169 
                  inst_4          1     0.131      0.000      0.131 
                  inst_6          1     0.130      0.000      0.130 
            inst_1               12     1.194    213.560    214.754 
              inst_2              4     0.360    106.777    107.137 
                inst_1            2     0.272    106.777    107.049 
                inst_2            2     0.088      0.000      0.088 
                  inst_1          2     0.088      0.000      0.088 
              inst_3              4     0.360    106.783    107.143 
                inst_1            2     0.272    106.783    107.054 
                inst_2            2     0.088      0.000      0.088 
                  inst_1          2     0.088      0.000      0.088 
              inst_7              1     0.166      0.000      0.166 
              inst_8              1     0.130      0.000      0.130 
              inst_4              1     0.125      0.000      0.125 
            inst_7                8     0.843    106.785    107.628 
              inst_1              8     0.843    106.785    107.628 
                inst_1            8     0.843    106.785    107.628 
                  inst_5          4     0.360    106.785    107.145 
                    inst_1        2     0.272    106.785    107.056 
                    inst_2        2     0.088      0.000      0.088 
                      inst_1      2     0.088      0.000      0.088 
                  inst_2          1     0.169      0.000      0.169 
                  inst_4          1     0.131      0.000      0.131 
                  inst_6          1     0.130      0.000      0.130 
            inst_13               8     0.843    106.785    107.628 
              inst_1              8     0.843    106.785    107.628 
                inst_1            8     0.843    106.785    107.628 
                  inst_5          4     0.360    106.785    107.145 
                    inst_1        2     0.272    106.785    107.056 
                    inst_2        2     0.088      0.000      0.088 
                      inst_1      2     0.088      0.000      0.088 
                  inst_2          1     0.169      0.000      0.169 
                  inst_4          1     0.131      0.000      0.131 
                  inst_6          1     0.130      0.000      0.130 
            inst_15               8     0.843    106.785    107.628 
              inst_1              8     0.843    106.785    107.628 
                inst_1            8     0.843    106.785    107.628 
                  inst_5          4     0.360    106.785    107.145 
                    inst_1        2     0.272    106.785    107.056 
                    inst_2        2     0.088      0.000      0.088 
                      inst_1      2     0.088      0.000      0.088 
                  inst_2          1     0.169      0.000      0.169 
                  inst_4          1     0.131      0.000      0.131 
                  inst_6          1     0.130      0.000      0.130 
            inst_17               8     0.843    106.785    107.628 
              inst_1              8     0.843    106.785    107.628 
                inst_1            8     0.843    106.785    107.628 
                  inst_5          4     0.360    106.785    107.145 
                    inst_1        2     0.272    106.785    107.056 
                    inst_2        2     0.088      0.000      0.088 
                      inst_1      2     0.088      0.000      0.088 
                  inst_2          1     0.169      0.000      0.169 
                  inst_4          1     0.131      0.000      0.131 
                  inst_6          1     0.130      0.000      0.130 
            inst_23               8     0.843    106.787    107.630 
              inst_1              8     0.843    106.787    107.630 
                inst_1            8     0.843    106.787    107.630 
                  inst_5          4     0.360    106.787    107.147 
                    inst_1        2     0.272    106.787    107.058 
                    inst_2        2     0.088      0.000      0.088 
                      inst_1      2     0.088      0.000      0.088 
                  inst_2          1     0.169      0.000      0.169 
                  inst_4          1     0.131      0.000      0.131 
                  inst_6          1     0.130      0.000      0.130 
          inst_1                420    29.228   2152.155   2181.383 
            inst_1              294    17.778      0.159     17.936 
              inst_76             3     0.752      0.000      0.752 
              inst_493            2     0.471      0.000      0.471 
              inst_540            2     0.369      0.000      0.369 
              inst_233            7     0.355      0.000      0.355 
              inst_350            7     0.355      0.000      0.355 
              inst_184            7     0.351      0.004      0.356 
              inst_268            7     0.351      0.004      0.356 
              inst_162            7     0.324      0.000      0.324 
              inst_208            7     0.312      0.000      0.312 
              inst_303            7     0.312      0.000      0.312 
              inst_326            7     0.312      0.000      0.312 
              inst_408            7     0.312      0.000      0.312 
              inst_292            1     0.262      0.000      0.262 
              inst_389            6     0.262      0.005      0.267 
              inst_767            6     0.259      0.004      0.263 
              inst_563            6     0.256      0.000      0.256 
              inst_745            6     0.246      0.000      0.246 
              inst_713            5     0.230      0.004      0.234 
              inst_464            5     0.229      0.004      0.233 
              inst_480            5     0.228      0.004      0.232 
              inst_633            5     0.228      0.004      0.232 
              inst_525            1     0.227      0.000      0.227 
              inst_616            1     0.227      0.000      0.227 
              inst_441            3     0.217      0.000      0.217 
              inst_35             3     0.217      0.000      0.217 
              inst_65             3     0.217      0.000      0.217 
              inst_27             3     0.216      0.000      0.216 
              inst_47             3     0.216      0.000      0.216 
              inst_77             3     0.215      0.000      0.215 
              inst_108            3     0.214      0.000      0.214 
              inst_452            3     0.213      0.000      0.213 
              inst_97             3     0.213      0.000      0.213 
              inst_293            3     0.213      0.000      0.213 
              inst_700            3     0.212      0.000      0.212 
              inst_86             3     0.212      0.000      0.212 
              inst_258            3     0.212      0.000      0.212 
              inst_119            3     0.211      0.000      0.211 
              inst_46             1     0.209      0.000      0.209 
              inst_374            1     0.209      0.000      0.209 
              inst_479            1     0.209      0.000      0.209 
              inst_1              1     0.209      0.009      0.218 
              inst_728            5     0.201      0.000      0.201 
              inst_509            5     0.200      0.000      0.200 
              inst_545            5     0.200      0.000      0.200 
              inst_617            5     0.200      0.000      0.200 
              inst_494            5     0.199      0.000      0.199 
              inst_583            5     0.199      0.000      0.199 
              inst_665            5     0.199      0.000      0.199 
              inst_144            5     0.199      0.005      0.204 
              inst_526            5     0.197      0.000      0.197 
              inst_599            5     0.196      0.005      0.201 
              inst_682            5     0.196      0.005      0.201 
              inst_648            5     0.195      0.000      0.195 
              inst_45             1     0.169      0.000      0.169 
              inst_291            1     0.169      0.000      0.169 
              inst_478            1     0.169      0.000      0.169 
              inst_766            1     0.169      0.000      0.169 
              inst_20             2     0.148      0.000      0.148 
              inst_432            2     0.142      0.000      0.142 
              inst_56             2     0.141      0.000      0.141 
              inst_375            4     0.141      0.000      0.141 
              inst_131            4     0.140      0.000      0.140 
              inst_4              1     0.130      0.007      0.137 
              inst_543            1     0.126      0.000      0.126 
              inst_664            3     0.123      0.000      0.123 
              inst_544            1     0.121      0.000      0.121 
              inst_582            1     0.121      0.000      0.121 
              inst_632            3     0.119      0.000      0.119 
              inst_5              1     0.083      0.000      0.083 
              inst_9              1     0.079      0.010      0.089 
              inst_14             1     0.071      0.000      0.071 
            inst_2               60     7.496   2151.804   2159.300 
              inst_2             39     5.664   2151.765   2157.429 
              inst_1             21     1.832      0.039      1.871 
                inst_1           21     1.832      0.039      1.871 
            inst_23              65     3.746      0.158      3.904 
              inst_1             65     3.746      0.158      3.904 
            inst_24               1     0.209      0.034      0.243 
          inst_3                228    17.925    213.658    231.583 
            inst_1              156     9.933      0.084     10.017 
              inst_64             3     0.664      0.000      0.664 
              inst_187            7     0.354      0.000      0.354 
              inst_277            7     0.354      0.000      0.354 
              inst_299            7     0.354      0.000      0.354 
              inst_377            7     0.354      0.000      0.354 
              inst_322            7     0.353      0.007      0.360 
              inst_211            7     0.351      0.004      0.355 
              inst_164            7     0.322      0.000      0.322 
              inst_244            7     0.322      0.000      0.322 
              inst_267            1     0.262      0.000      0.262 
              inst_143            6     0.247      0.005      0.252 
              inst_103            3     0.218      0.007      0.225 
              inst_93             3     0.215      0.000      0.215 
              inst_83             3     0.214      0.000      0.214 
              inst_268            3     0.214      0.000      0.214 
              inst_73             3     0.214      0.000      0.214 
              inst_235            3     0.214      0.000      0.214 
              inst_346            3     0.213      0.000      0.213 
              inst_114            3     0.211      0.000      0.211 
              inst_37             1     0.209      0.000      0.209 
              inst_345            1     0.209      0.000      0.209 
              inst_126            5     0.200      0.000      0.200 
              inst_359            5     0.199      0.000      0.199 
              inst_36             1     0.169      0.000      0.169 
              inst_266            1     0.169      0.000      0.169 
              inst_4              1     0.169      0.007      0.176 
              inst_3              1     0.153      0.000      0.153 
              inst_46             2     0.144      0.000      0.144 
              inst_27             2     0.141      0.000      0.141 
              inst_54             2     0.141      0.000      0.141 
              inst_20             2     0.140      0.000      0.140 
              inst_38             2     0.140      0.000      0.140 
              inst_65             2     0.139      0.000      0.139 
              inst_5              1     0.091      0.006      0.097 
              inst_9              1     0.074      0.000      0.074 
              inst_14             1     0.071      0.000      0.071 
            inst_38               5     0.384      0.013      0.397 
              inst_1              5     0.384      0.013      0.397 
            inst_120              4     0.360    106.777    107.137 
              inst_1              2     0.272    106.777    107.049 
              inst_2              2     0.088      0.000      0.088 
                inst_1            2     0.088      0.000      0.088 
            inst_123              4     0.360    106.777    107.137 
              inst_1              2     0.272    106.777    107.049 
              inst_2              2     0.088      0.000      0.088 
                inst_1            2     0.088      0.000      0.088 
            inst_78               1     0.262      0.000      0.262 
            inst_100              1     0.227      0.000      0.227 
            inst_47               3     0.212      0.000      0.212 
            inst_92               1     0.209      0.000      0.209 
            inst_41               1     0.209      0.007      0.216 
            inst_15               1     0.169      0.000      0.169 
            inst_46               1     0.169      0.000      0.169 
            inst_90               1     0.169      0.000      0.169 
            inst_109              1     0.169      0.000      0.169 
            inst_116              1     0.169      0.000      0.169 
            inst_125              1     0.169      0.000      0.169 
            inst_72               1     0.167      0.000      0.167 
            inst_65               1     0.166      0.000      0.166 
            inst_49               1     0.166      0.000      0.166 
            inst_51               1     0.166      0.000      0.166 
            inst_53               1     0.166      0.000      0.166 
            inst_55               1     0.166      0.000      0.166 
            inst_57               1     0.166      0.000      0.166 
            inst_59               1     0.166      0.000      0.166 
            inst_61               1     0.166      0.000      0.166 
            inst_63               1     0.166      0.000      0.166 
            inst_67               1     0.166      0.000      0.166 
            inst_69               1     0.166      0.000      0.166 
            inst_122              1     0.130      0.000      0.130 
            inst_126              1     0.130      0.000      0.130 
            inst_73               1     0.130      0.000      0.130 
            inst_44               1     0.125      0.000      0.125 
            inst_75               1     0.125      0.000      0.125 
            inst_77               1     0.125      0.000      0.125 
            inst_83               1     0.125      0.000      0.125 
            inst_85               1     0.125      0.000      0.125 
            inst_87               1     0.125      0.000      0.125 
            inst_91               1     0.125      0.000      0.125 
            inst_99               1     0.125      0.000      0.125 
            inst_107              1     0.125      0.000      0.125 
            inst_110              1     0.125      0.000      0.125 
            inst_111              1     0.125      0.000      0.125 
            inst_117              1     0.125      0.000      0.125 
            inst_119              1     0.125      0.000      0.125 
            inst_95               1     0.071      0.000      0.071 
            inst_113              1     0.069      0.000      0.069 
      inst_8                    859    86.581  12323.940  12410.521 
        inst_1                  859    86.581  12323.940  12410.521 
          inst_2                514    52.161   7406.342   7458.502 
            inst_5               85    10.315   2880.244   2890.558 
              inst_2             56     7.780   2880.244   2888.024 
              inst_1             29     2.534      0.000      2.534 
                inst_1           29     2.534      0.000      2.534 
            inst_6               61     7.383   2057.317   2064.700 
              inst_2             40     5.557   2057.317   2062.874 
              inst_1             21     1.826      0.000      1.826 
                inst_1           21     1.826      0.000      1.826 
            inst_81              28     3.502      0.000      3.502 
            inst_7               25     3.277    822.927    826.204 
              inst_2             16     2.223    822.927    825.150 
              inst_1              9     1.055      0.000      1.055 
                inst_1            9     1.055      0.000      1.055 
            inst_41              65     3.238      0.000      3.238 
              inst_1             65     3.238      0.000      3.238 
            inst_1               35     3.221      0.000      3.221 
              inst_75             1     0.227      0.000      0.227 
              inst_35             1     0.209      0.000      0.209 
              inst_95             1     0.187      0.000      0.187 
              inst_12             1     0.169      0.000      0.169 
              inst_74             1     0.169      0.000      0.169 
              inst_2              1     0.131      0.000      0.131 
              inst_61             1     0.131      0.000      0.131 
              inst_79             1     0.130      0.000      0.130 
              inst_19             1     0.125      0.000      0.125 
              inst_52             1     0.125      0.000      0.125 
              inst_64             1     0.125      0.000      0.125 
              inst_70             1     0.075      0.000      0.075 
              inst_80             1     0.074      0.000      0.074 
              inst_103            1     0.073      0.000      0.073 
              inst_3              1     0.073      0.000      0.073 
              inst_13             1     0.073      0.000      0.073 
              inst_20             1     0.072      0.000      0.072 
              inst_84             1     0.071      0.000      0.071 
              inst_42             1     0.070      0.000      0.070 
              inst_53             1     0.070      0.000      0.070 
              inst_6              1     0.069      0.000      0.069 
              inst_97             1     0.069      0.000      0.069 
              inst_89             1     0.069      0.000      0.069 
              inst_24             1     0.069      0.000      0.069 
              inst_29             1     0.069      0.000      0.069 
            inst_47              37     3.153      0.000      3.153 
              inst_1             37     3.153      0.000      3.153 
            inst_2               25     2.967    822.927    825.894 
              inst_2             16     2.223    822.927    825.150 
              inst_1              9     0.744      0.000      0.744 
                inst_1            9     0.744      0.000      0.744 
            inst_3               19     2.252    617.195    619.447 
              inst_2             12     1.667    617.195    618.862 
              inst_1              7     0.585      0.000      0.585 
                inst_1            7     0.585      0.000      0.585 
            inst_26              21     1.826      0.000      1.826 
            inst_51              12     1.347      0.000      1.347 
              inst_1             12     1.347      0.000      1.347 
            inst_84               8     1.001      0.000      1.001 
            inst_95              11     0.843      0.000      0.843 
              inst_1             11     0.843      0.000      0.843 
            inst_24              15     0.786      0.000      0.786 
            inst_4                7     0.768    205.732    206.500 
              inst_2              4     0.556    205.732    206.287 
              inst_1              3     0.213      0.000      0.213 
                inst_1            3     0.213      0.000      0.213 
            inst_13              11     0.759      0.000      0.759 
            inst_14              11     0.759      0.000      0.759 
            inst_53               9     0.719      0.000      0.719 
              inst_1              9     0.719      0.000      0.719 
            inst_16               2     0.471      0.000      0.471 
            inst_18               2     0.471      0.000      0.471 
            inst_22               2     0.272      0.000      0.272 
            inst_49               2     0.261      0.000      0.261 
            inst_87               2     0.261      0.000      0.261 
            inst_90               2     0.250      0.000      0.250 
            inst_92               2     0.250      0.000      0.250 
              inst_1              2     0.250      0.000      0.250 
            inst_11               3     0.213      0.000      0.213 
            inst_54               1     0.201      0.000      0.201 
            inst_70               1     0.187      0.000      0.187 
            inst_61               1     0.187      0.000      0.187 
            inst_68               1     0.166      0.000      0.166 
            inst_9                1     0.131      0.000      0.131 
            inst_60               1     0.131      0.000      0.131 
            inst_65               1     0.131      0.000      0.131 
            inst_69               1     0.131      0.000      0.131 
            inst_74               1     0.131      0.000      0.131 
            inst_25               1     0.125      0.000      0.125 
          inst_4                180    19.490   3833.480   3852.971 
            inst_5               42     4.591    929.714    934.304 
              inst_2             34     3.747    822.927    826.674 
                inst_1           34     3.747    822.927    826.674 
                  inst_1         25     2.985    822.927    825.912 
                    inst_2       16     2.223    822.927    825.150 
                    inst_1        9     0.762      0.000      0.762 
                      inst_1      9     0.762      0.000      0.762 
                  inst_2          9     0.762      0.000      0.762 
              inst_1              8     0.843    106.787    107.630 
                inst_1            8     0.843    106.787    107.630 
                  inst_5          4     0.360    106.787    107.147 
                    inst_1        2     0.272    106.787    107.058 
                    inst_2        2     0.088      0.000      0.088 
                      inst_1      2     0.088      0.000      0.088 
                  inst_2          1     0.169      0.000      0.169 
                  inst_4          1     0.131      0.000      0.131 
                  inst_6          1     0.130      0.000      0.130 
            inst_9               42     4.591    929.714    934.304 
              inst_2             34     3.747    822.927    826.674 
                inst_1           34     3.747    822.927    826.674 
                  inst_1         25     2.985    822.927    825.912 
                    inst_2       16     2.223    822.927    825.150 
                    inst_1        9     0.762      0.000      0.762 
                      inst_1      9     0.762      0.000      0.762 
                  inst_2          9     0.762      0.000      0.762 
              inst_1              8     0.843    106.787    107.630 
                inst_1            8     0.843    106.787    107.630 
                  inst_5          4     0.360    106.787    107.147 
                    inst_1        2     0.272    106.787    107.058 
                    inst_2        2     0.088      0.000      0.088 
                      inst_1      2     0.088      0.000      0.088 
                  inst_2          1     0.169      0.000      0.169 
                  inst_4          1     0.131      0.000      0.131 
                  inst_6          1     0.130      0.000      0.130 
            inst_11              42     4.591    929.714    934.304 
              inst_2             34     3.747    822.927    826.674 
                inst_1           34     3.747    822.927    826.674 
                  inst_1         25     2.985    822.927    825.912 
                    inst_2       16     2.223    822.927    825.150 
                    inst_1        9     0.762      0.000      0.762 
                      inst_1      9     0.762      0.000      0.762 
                  inst_2          9     0.762      0.000      0.762 
              inst_1              8     0.843    106.787    107.630 
                inst_1            8     0.843    106.787    107.630 
                  inst_5          4     0.360    106.787    107.147 
                    inst_1        2     0.272    106.787    107.058 
                    inst_2        2     0.088      0.000      0.088 
                      inst_1      2     0.088      0.000      0.088 
                  inst_2          1     0.169      0.000      0.169 
                  inst_4          1     0.131      0.000      0.131 
                  inst_6          1     0.130      0.000      0.130 
            inst_7               34     3.680    723.980    727.660 
              inst_2             26     2.837    617.195    620.032 
                inst_1           26     2.837    617.195    620.032 
                  inst_1         19     2.252    617.195    619.447 
                    inst_2       12     1.667    617.195    618.862 
                    inst_1        7     0.585      0.000      0.585 
                      inst_1      7     0.585      0.000      0.585 
                  inst_2          7     0.585      0.000      0.585 
              inst_1              8     0.843    106.785    107.628 
                inst_1            8     0.843    106.785    107.628 
                  inst_5          4     0.360    106.785    107.145 
                    inst_1        2     0.272    106.785    107.056 
                    inst_2        2     0.088      0.000      0.088 
                      inst_1      2     0.088      0.000      0.088 
                  inst_2          1     0.169      0.000      0.169 
                  inst_4          1     0.131      0.000      0.131 
                  inst_6          1     0.130      0.000      0.130 
            inst_1               12     1.195    213.571    214.767 
              inst_2              4     0.360    106.785    107.145 
                inst_1            2     0.272    106.785    107.056 
                inst_2            2     0.088      0.000      0.088 
                  inst_1          2     0.088      0.000      0.088 
              inst_3              4     0.360    106.787    107.147 
                inst_1            2     0.272    106.787    107.058 
                inst_2            2     0.088      0.000      0.088 
                  inst_1          2     0.088      0.000      0.088 
              inst_7              1     0.166      0.000      0.166 
              inst_8              1     0.131      0.000      0.131 
              inst_4              1     0.125      0.000      0.125 
            inst_3                8     0.843    106.789    107.632 
              inst_1              8     0.843    106.789    107.632 
                inst_1            8     0.843    106.789    107.632 
                  inst_5          4     0.360    106.789    107.149 
                    inst_1        2     0.272    106.789    107.060 
                    inst_2        2     0.088      0.000      0.088 
                      inst_1      2     0.088      0.000      0.088 
                  inst_2          1     0.169      0.000      0.169 
                  inst_4          1     0.131      0.000      0.131 
                  inst_6          1     0.130      0.000      0.130 
          inst_1                 94     8.217    870.506    878.724 
            inst_1               45     3.514      0.045      3.559 
              inst_34             1     0.262      0.000      0.262 
              inst_14             3     0.259      0.000      0.259 
              inst_20             3     0.218      0.000      0.218 
              inst_58             3     0.217      0.000      0.217 
              inst_1              1     0.209      0.008      0.217 
              inst_87             1     0.169      0.000      0.169 
              inst_9              2     0.148      0.000      0.148 
              inst_15             2     0.148      0.000      0.148 
              inst_21             2     0.148      0.000      0.148 
              inst_27             2     0.148      0.000      0.148 
              inst_41             2     0.148      0.000      0.148 
              inst_69             2     0.145      0.000      0.145 
              inst_77             2     0.142      0.007      0.150 
              inst_48             2     0.141      0.000      0.141 
              inst_88             2     0.141      0.000      0.141 
              inst_4              1     0.130      0.007      0.137 
              inst_5              1     0.083      0.000      0.083 
              inst_35             1     0.071      0.000      0.071 
            inst_2               24     3.135    870.427    873.562 
              inst_2             15     2.369    870.404    872.774 
              inst_1              9     0.766      0.023      0.789 
                inst_1            9     0.766      0.023      0.789 
            inst_11              24     1.359      0.017      1.376 
              inst_1             24     1.359      0.017      1.376 
            inst_12               1     0.209      0.018      0.227 
          inst_3                 70     6.660    213.612    220.272 
            inst_1               30     2.295      0.030      2.325 
              inst_26             1     0.262      0.000      0.262 
              inst_9              3     0.259      0.000      0.259 
              inst_14             3     0.218      0.000      0.218 
              inst_4              1     0.169      0.007      0.176 
              inst_3              1     0.153      0.000      0.153 
              inst_38             2     0.144      0.000      0.144 
              inst_47             2     0.143      0.007      0.150 
              inst_27             1     0.074      0.000      0.074 
              inst_5              1     0.072      0.000      0.072 
              inst_10             1     0.072      0.000      0.072 
              inst_15             1     0.072      0.000      0.072 
              inst_20             1     0.072      0.000      0.072 
              inst_32             1     0.071      0.000      0.071 
            inst_57               4     0.360    106.785    107.145 
              inst_1              2     0.272    106.785    107.056 
              inst_2              2     0.088      0.000      0.088 
                inst_1            2     0.088      0.000      0.088 
            inst_60               4     0.360    106.785    107.145 
              inst_1              2     0.272    106.785    107.056 
              inst_2              2     0.088      0.000      0.088 
                inst_1            2     0.088      0.000      0.088 
            inst_20               4     0.273      0.006      0.279 
              inst_1              4     0.273      0.006      0.279 
            inst_50               1     0.227      0.000      0.227 
            inst_23               1     0.209      0.007      0.216 
            inst_9                1     0.169      0.000      0.169 
            inst_28               1     0.169      0.000      0.169 
            inst_44               1     0.169      0.000      0.169 
            inst_62               1     0.169      0.000      0.169 
            inst_35               1     0.166      0.000      0.166 
            inst_33               1     0.166      0.000      0.166 
            inst_37               1     0.166      0.000      0.166 
            inst_39               1     0.166      0.000      0.166 
            inst_31               1     0.166      0.000      0.166 
            inst_29               2     0.145      0.000      0.145 
            inst_47               1     0.131      0.000      0.131 
            inst_59               1     0.130      0.000      0.130 
            inst_63               1     0.130      0.000      0.130 
            inst_26               1     0.125      0.000      0.125 
            inst_41               1     0.125      0.000      0.125 
            inst_45               1     0.125      0.000      0.125 
            inst_49               1     0.125      0.000      0.125 
            inst_56               1     0.125      0.000      0.125 
      inst_9                    594    62.288   8798.622   8860.910 
        inst_1                  594    62.288   8798.622   8860.910 
          inst_2                300    33.507   5040.427   5073.934 
            inst_6               49     5.917   1645.854   1651.770 
              inst_2             32     4.446   1645.854   1650.299 
              inst_1             17     1.471      0.000      1.471 
                inst_1           17     1.471      0.000      1.471 
            inst_2               25     2.985    822.927    825.912 
              inst_2             16     2.223    822.927    825.150 
              inst_1              9     0.762      0.000      0.762 
                inst_1            9     0.762      0.000      0.762 
            inst_3               25     2.985    822.927    825.912 
              inst_2             16     2.223    822.927    825.150 
              inst_1              9     0.762      0.000      0.762 
                inst_1            9     0.762      0.000      0.762 
            inst_4               25     2.985    822.927    825.912 
              inst_2             16     2.223    822.927    825.150 
              inst_1              9     0.762      0.000      0.762 
                inst_1            9     0.762      0.000      0.762 
            inst_1               28     2.894      0.000      2.894 
              inst_15             1     0.262      0.000      0.262 
              inst_79             1     0.262      0.000      0.262 
