============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.14-s037_1
  Generated on:           Feb 06 2024  05:10:39 pm
  Module:                 cephalopode
  Operating conditions:   PVT_0P7V_25C 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     Leakage    Dynamic     Total   
          Instance            Cells Power(nW)  Power(nW)  Power(nW) 
            inst_158              4     0.198      0.000      0.198 
            inst_144              4     0.198      0.000      0.198 
            inst_44               3     0.190      0.000      0.190 
            inst_242              3     0.189      0.000      0.189 
            inst_28               4     0.185      0.000      0.185 
            inst_36               4     0.185      0.000      0.185 
            inst_40               4     0.185      0.000      0.185 
            inst_210              4     0.184      0.000      0.184 
            inst_214              4     0.184      0.000      0.184 
            inst_24               5     0.183      0.000      0.183 
            inst_32               5     0.183      0.000      0.183 
            inst_148              4     0.183      0.000      0.183 
            inst_166              4     0.182      0.000      0.182 
            inst_154              5     0.180      0.000      0.180 
            inst_142              3     0.180      0.000      0.180 
            inst_22               4     0.173      0.000      0.173 
            inst_18               4     0.173      0.000      0.173 
            inst_30               4     0.173      0.000      0.173 
            inst_20               4     0.163      0.000      0.163 
            inst_38               4     0.162      0.000      0.162 
            inst_146              4     0.162      0.000      0.162 
            inst_150              4     0.162      0.000      0.162 
            inst_14               3     0.155      0.000      0.155 
          inst_132              672    53.917      0.000     53.917 
            inst_184              3     0.467      0.000      0.467 
            inst_40               3     0.467      0.000      0.467 
            inst_88               3     0.467      0.000      0.467 
            inst_187              4     0.466      0.000      0.466 
            inst_190              4     0.466      0.000      0.466 
            inst_208              4     0.466      0.000      0.466 
            inst_43               4     0.466      0.000      0.466 
            inst_91               4     0.466      0.000      0.466 
            inst_46               4     0.466      0.000      0.466 
            inst_94               4     0.466      0.000      0.466 
            inst_64               4     0.466      0.000      0.466 
            inst_112              4     0.466      0.000      0.466 
            inst_196              4     0.465      0.000      0.465 
            inst_52               4     0.465      0.000      0.465 
            inst_100              4     0.465      0.000      0.465 
            inst_1                2     0.441      0.000      0.441 
            inst_3                3     0.435      0.000      0.435 
            inst_5                3     0.435      0.000      0.435 
            inst_17               3     0.435      0.000      0.435 
            inst_9                3     0.435      0.000      0.435 
            inst_262              6     0.344      0.000      0.344 
            inst_310              6     0.344      0.000      0.344 
            inst_259              6     0.344      0.000      0.344 
            inst_307              6     0.344      0.000      0.344 
            inst_247              6     0.344      0.000      0.344 
            inst_295              6     0.344      0.000      0.344 
            inst_250              6     0.344      0.000      0.344 
            inst_298              6     0.344      0.000      0.344 
            inst_256              5     0.310      0.000      0.310 
            inst_304              5     0.310      0.000      0.310 
            inst_214              5     0.310      0.000      0.310 
            inst_211              5     0.310      0.000      0.310 
            inst_235              5     0.310      0.000      0.310 
            inst_283              5     0.310      0.000      0.310 
            inst_238              5     0.310      0.000      0.310 
            inst_244              5     0.310      0.000      0.310 
            inst_286              5     0.310      0.000      0.310 
            inst_292              5     0.310      0.000      0.310 
            inst_70               5     0.310      0.000      0.310 
            inst_118              5     0.310      0.000      0.310 
            inst_67               5     0.310      0.000      0.310 
            inst_115              5     0.310      0.000      0.310 
            inst_199              5     0.310      0.000      0.310 
            inst_202              5     0.310      0.000      0.310 
            inst_55               5     0.310      0.000      0.310 
            inst_103              5     0.310      0.000      0.310 
            inst_58               5     0.310      0.000      0.310 
            inst_106              5     0.310      0.000      0.310 
            inst_355              5     0.290      0.000      0.290 
            inst_358              5     0.290      0.000      0.290 
            inst_265              5     0.290      0.000      0.290 
            inst_271              5     0.290      0.000      0.290 
            inst_274              5     0.290      0.000      0.290 
            inst_313              5     0.290      0.000      0.290 
            inst_319              5     0.290      0.000      0.290 
            inst_322              5     0.290      0.000      0.290 
            inst_343              5     0.290      0.000      0.290 
            inst_346              5     0.290      0.000      0.290 
            inst_253              5     0.290      0.000      0.290 
            inst_301              5     0.290      0.000      0.290 
            inst_232              4     0.280      0.000      0.280 
            inst_280              4     0.280      0.000      0.280 
            inst_22               4     0.280      0.000      0.280 
            inst_19               4     0.280      0.000      0.280 
            inst_11               4     0.279      0.000      0.279 
            inst_13               4     0.279      0.000      0.279 
            inst_163              5     0.275      0.000      0.275 
            inst_166              5     0.275      0.000      0.275 
            inst_241              5     0.275      0.000      0.275 
            inst_289              5     0.275      0.000      0.275 
            inst_268              5     0.275      0.000      0.275 
            inst_316              5     0.275      0.000      0.275 
            inst_151              5     0.275      0.000      0.275 
            inst_154              5     0.275      0.000      0.275 
            inst_352              4     0.256      0.000      0.256 
            inst_217              4     0.256      0.000      0.256 
            inst_223              4     0.256      0.000      0.256 
            inst_226              4     0.256      0.000      0.256 
            inst_331              4     0.256      0.000      0.256 
            inst_334              4     0.256      0.000      0.256 
            inst_340              4     0.256      0.000      0.256 
            inst_73               4     0.256      0.000      0.256 
            inst_79               4     0.256      0.000      0.256 
            inst_82               4     0.256      0.000      0.256 
            inst_121              4     0.256      0.000      0.256 
            inst_127              4     0.256      0.000      0.256 
            inst_130              4     0.256      0.000      0.256 
            inst_205              4     0.256      0.000      0.256 
            inst_61               4     0.256      0.000      0.256 
            inst_109              4     0.256      0.000      0.256 
            inst_367              4     0.244      0.000      0.244 
            inst_370              4     0.244      0.000      0.244 
            inst_349              4     0.244      0.000      0.244 
            inst_361              4     0.244      0.000      0.244 
            inst_193              4     0.241      0.000      0.241 
            inst_160              4     0.241      0.000      0.241 
            inst_220              4     0.241      0.000      0.241 
            inst_139              4     0.241      0.000      0.241 
            inst_142              4     0.241      0.000      0.241 
            inst_148              4     0.241      0.000      0.241 
            inst_49               4     0.241      0.000      0.241 
            inst_97               4     0.241      0.000      0.241 
            inst_76               4     0.241      0.000      0.241 
            inst_124              4     0.241      0.000      0.241 
            inst_277              4     0.236      0.000      0.236 
            inst_325              4     0.236      0.000      0.236 
